Data Platform,Physician ID,First Name,Last Name,Gender,Age,Specialty,Years of Experience,Medical School,Board Certification,Referrals per Year
Osan3Alpha,209,Emma,Tran,F,36,Reproductive Medicine,8,Mayo Clinic College of Medicine and Science,American Board of Obstetrics and Gynecology,630
Osan3Alpha,210,Noah,Kaur,M,43,Cardiothoracic Surgery,12,Stanford University School of Medicine,American Board of Thoracic Surgery,35
Osan3Alpha,211,Sophia,Park,F,37,Endocrinology,9,Harvard Medical School Brigham and Women's Hospital,American Board of Internal Medicine,86
Osan3Alpha,212,Oliver,Li,M,44,Neurological Surgery,11,University of Michigan Medical School,American Board of Neurological Surgery,31
Osan3Alpha,213,Liam,Kim,M,43,Interventional Cardiology,12,Mount Sinai School of Medicine,American Board of Internal Medicine,39
Osan3Alpha,214,Mia,Chung,F,38,Medical Genetics,10,Stanford University School of Medicine,American Board of Medical Genetics and Genomics,341
Osan3Alpha,215,Ethan,Wu,M,47,Pediatric Hematology and Oncology,14,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,267
Osan3Alpha,216,Isabella,Gomez,F,36,Colorectal Surgery,9,Cleveland Clinic Lerner College of Medicine,American Board of Surgery,46
Osan3Alpha,217,Sophia,Patel,F,37,Infectious Disease,9,Harvard Medical School Massachusetts General Hospital,American Board of Internal Medicine,367
Osan3Alpha,218,Lucas,Ramirez,M,44,Reconstructive Surgery,11,University of California Los Angeles David Geffen School of Medicine,American Board of Plastic Surgery,66
Osan3Alpha,219,Emma,Lee,F,38,Obstetrics and Gynecology,10,University of Texas Southwestern Medical School,American Board of Obstetrics and Gynecology,92
Osan3Alpha,220,William,Ahmed,M,47,Hand Surgery,14,Washington University School of Medicine in St. Louis,American Board of Plastic Surgery,49
Osan3Alpha,221,Oliver,Wang,M,43,Pediatric Nephrology,12,Harvard Medical School Boston Children's Hospital,American Board of Pediatrics,94
Osan3Alpha,222,Mia,Kim,F,38,Gynecologic Oncology,10,Weill Cornell Medical College Memorial Sloan Kettering Cancer Center,American Board of Obstetrics and Gynecology,186
Osan3Alpha,223,Liam,Hernandez,M,44,Orthopedic Trauma Surgery,11,University of California San Francisco School of Medicine,American Board of Orthopaedic Surgery,35
Osan3Alpha,224,Ava,Li,F,37,Child and Adolescent Psychiatry,9,George Washington University School of Medicine Children's National Medical Center,American Board of Psychiatry and Neurology,100
Osan3Alpha,225,Ethan,Tran,M,43,Cardiac Electrophysiology,12,Mount Sinai School of Medicine,American Board of Internal Medicine,60
Osan3Alpha,226,Isabella,Liu,F,36,Hand Surgery,8,Columbia University College of Physicians and Surgeons New York-Presbyterian Hospital/Weill Cornell Medical Center,American Board of Plastic Surgery,85
Osan3Alpha,227,Olivia,Chen,F,37,Obstetric Anesthesiology,9,Harvard Medical School Massachusetts General Hospital,American Board of Anesthesiology,35
Osan3Alpha,228,Lucas,Nguyen,M,44,Neuroradiology,11,Stanford University School of Medicine,American Board of Radiology,36
Osan3Alpha,229,Sophia,Patel,F,38,Child Abuse Pediatrics,10,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,31
Osan3Alpha,230,Emma,Park,F,36,Rheumatology,8,Harvard Medical School Brigham and Women's Hospital,American Board of Internal Medicine,57
Osan3Alpha,231,Noah,Chung,M,43,Reproductive Endocrinology and Infertility,12,Mayo Clinic College of Medicine and Science,American Board of Obstetrics and Gynecology,34
Osan3Alpha,232,William,Li,M,47,Plastic Surgery,14,University of Texas Southwestern Medical Center,American Board of Plastic Surgery,827
Osan3Alpha,233,Ava,Kim,F,38,Pediatric Gastroenterology,10,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,37
Osan3Alpha,234,Ethan,Wu,M,43,Hematology,12,Harvard Medical School Massachusetts General Hospital,American Board of Internal Medicine,44
Osan3Alpha,235,Mia,Gomez,F,36,Thoracic Surgery,9,Johns Hopkins University School of Medicine,American Board of Thoracic Surgery,95
Osan3Alpha,236,Sophia,Ramirez,F,37,Neurology,9,University of California San Francisco School of Medicine,American Board of Psychiatry and Neurology,59
Osan3Alpha,237,Liam,Lee,M,44,Interventional Radiology,11,Mount Sinai School of Medicine,American Board of Radiology,162
Osan3Alpha,238,Emma,Hernandez,F,38,Neonatology,10,George Washington University School of Medicine Children's National Medical Center,American Board of Pediatrics,158
Osan3Alpha,239,Oliver,Patel,M,43,Cardiovascular Disease,12,Stanford University School of Medicine,American Board of Internal Medicine,193
Osan3Alpha,240,Isabella,Chen,F,36,Obstetrics and Gynecology,9,Columbia University College of Physicians and Surgeons New York-Presbyterian Hospital/Weill Cornell Medical Center,American Board of Obstetrics and Gynecology,70
Osan3Alpha,241,William,Kim,M,47,Neurological Surgery,14,Harvard Medical School Massachusetts General Hospital,American Board of Neurological Surgery,107
Osan3Alpha,242,Lucas,Tran,M,44,Pediatric Cardiology,11,Harvard Medical School Boston Children's Hospital,American Board of Pediatrics,36
Osan3Alpha,243,Olivia,Lee,F,37,Medical Oncology,9,Weill Cornell Medical College Memorial Sloan Kettering Cancer Center,American Board of Internal Medicine,326
Osan3Alpha,244,Emma,Wang,F,38,Hand Surgery,10,Columbia University College of Physicians and Surgeons New York-Presbyterian Hospital/Weill Cornell Medical Center,American Board of Plastic Surgery,57
Osan3Alpha,245,Noah,Park,M,43,Reconstructive Surgery,12,University of Texas Southwestern Medical Center,American Board of Plastic Surgery,76
Osan3Alpha,246,Liam,Nguyen,M,44,Neurotology,11,Harvard Medical School Massachusetts Eye and Ear Infirmary,American Board of Otolaryngology,97
Osan3Alpha,247,Oliver,Patel,M,43,Pulmonary Disease,12,Harvard Medical School Brigham and Women's Hospital,American Board of Internal Medicine,362
Osan3Alpha,248,Mia,Gomez,F,36,Maternal and Fetal Medicine,9,Mayo Clinic College of Medicine and Science,American Board of Obstetrics and Gynecology,41
Osan3Alpha,249,Sophia,Hernandez,F,38,Vascular Surgery,10,Johns Hopkins University School of Medicine,American Board of Surgery,275
Osan3Alpha,250,William,Li,M,47,Endocrinology,14,Harvard Medical School Massachusetts General Hospital,American Board of Internal Medicine,466
Osan3Alpha,251,Ethan,Kim,M,43,Cardiothoracic Surgery,12,Stanford University School of Medicine,American Board of Thoracic Surgery,38
Osan3Alpha,252,Ava,Lee,F,36,Pediatric Hematology-Oncology,9,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,54
Osan3Alpha,253,Lucas,Chen,M,44,Colon and Rectal Surgery,11,Cleveland Clinic Lerner College of Medicine,American Board of Colon and Rectal Surgery,31
Osan3Alpha,254,Emma,Tran,F,38,Infectious Disease,10,Harvard Medical School Massachusetts General Hospital,American Board of Internal Medicine,72
Osan3Alpha,255,Olivia,Ramirez,F,37,Interventional Cardiology,9,Mount Sinai School of Medicine,American Board of Internal Medicine,33
Osan3Alpha,256,Sophia,Patel,F,38,Child and Adolescent Psychiatry,10,George Washington University School of Medicine Children's National Medical Center,American Board of Psychiatry and Neurology,169
Osan3Alpha,257,Isabella,Li,F,36,Obstetric Anesthesiology,9,Harvard Medical School Massachusetts General Hospital,American Board of Anesthesiology,131
Osan3Alpha,258,William,Kim,M,47,Reproductive Endocrinology and Infertility,14,Mayo Clinic College of Medicine and Science,American Board of Obstetrics and Gynecology,101
Osan3Alpha,259,Noah,Nguyen,M,43,Orthopedic Sports Medicine,12,Weill Cornell Medical College Hospital for Special Surgery,American Board of Orthopaedic Surgery,30
Osan3Alpha,260,Liam,Hernandez,M,44,Neurocritical Care,11,University of California San Francisco School of Medicine,American Board of Neurology,31
Osan3Alpha,261,Grace,Wong,F,39,Neurology,10,Harvard Medical School Massachusetts General Hospital,American Board of Psychiatry and Neurology,64
Osan3Alpha,262,Sebastian,Kim,M,46,Plastic Surgery,13,Columbia University College of Physicians and Surgeons New York-Presbyterian Hospital/Columbia University Medical Center,American Board of Plastic Surgery,274
Osan3Alpha,263,Harper,Lin,F,37,Cardiac Electrophysiology,9,Harvard Medical School Brigham and Women's Hospital,American Board of Internal Medicine,64
Osan3Alpha,264,Evelyn,Tan,F,38,Pediatric Neurology,10,Harvard Medical School Boston Children's Hospital,American Board of Psychiatry and Neurology,175
Osan3Alpha,265,Benjamin,Chen,M,43,Thoracic Surgery,12,Stanford University School of Medicine,American Board of Thoracic Surgery,58
Osan3Alpha,266,Avery,Kwok,F,36,Hematology,9,Mayo Clinic College of Medicine and Science,American Board of Internal Medicine,39
Osan3Alpha,267,Henry,Truong,M,44,Gastroenterology,11,Harvard Medical School Massachusetts General Hospital,American Board of Internal Medicine,63
Osan3Alpha,268,Scarlett,Park,F,37,Reproductive Endocrinology and Infertility,10,Columbia University College of Physicians and Surgeons New York-Presbyterian Hospital/Weill Cornell Medical Center,American Board of Obstetrics and Gynecology,51
Osan3Alpha,269,Michael,Guo,M,46,Interventional Radiology,13,Washington University School of Medicine Mallinckrodt Institute of Radiology,American Board of Radiology,66
Osan3Alpha,270,Samuel,Ng,F,39,Colorectal Surgery,10,Cleveland Clinic Lerner College of Medicine,American Board of Colon and Rectal Surgery,192
Osan3Alpha,271,Lily,Zhang,F,37,Obstetrics and Gynecology,9,Harvard Medical School Brigham and Women's Hospital,American Board of Obstetrics and Gynecology,220
Osan3Alpha,272,Joseph,Lee,M,44,Anesthesiology,12,Harvard Medical School Massachusetts General Hospital,American Board of Anesthesiology,34
Osan3Alpha,273,Mila,Liu,F,38,Medical Genetics,10,Stanford University School of Medicine,American Board of Medical Genetics and Genomics,34
Osan3Alpha,274,Daniel,Ho,M,46,Cardiac Surgery,13,David Geffen School of Medicine at UCLA Cedars-Sinai Medical Center,American Board of Thoracic Surgery,38
Osan3Alpha,275,Victoria,Pham,F,39,Neonatology,10,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,44
Osan3Alpha,276,Alexander,Kwon,M,46,Neuroradiology,13,Harvard Medical School Massachusetts General Hospital,American Board of Radiology,52
Osan3Alpha,277,Aubrey,Nguyen,F,37,Pediatric Gastroenterology,9,Keck School of Medicine of USC Children's Hospital of Los Angeles,American Board of Pediatrics,179
Osan3Alpha,278,James,Wu,M,44,Pediatric Nephrology,12,Stanford University School of Medicine,American Board of Pediatrics,47
Osan3Alpha,279,Sofia,Wang,F,38,Medical Microbiology,10,Johns Hopkins University School of Medicine,American Board of Medical Microbiology,295
Osan3Alpha,280,David,Lin,M,46,Interventional Cardiology,13,Harvard Medical School Massachusetts General Hospital,American Board of Internal Medicine,40
Osan3Alpha,281,Olivia,Kim,F,37,Dermatology,9,Columbia University College of Physicians and Surgeons New York-Presbyterian Hospital/Weill Cornell Medical Center,American Board of Dermatology,40
Osan3Alpha,282,William,Choi,M,44,Orthopedic Surgery,12,Weill Cornell Medical College Hospital for Special Surgery,American Board of Orthopaedic Surgery,38
Osan3Alpha,283,Emma,Liu,F,38,Endocrinology,10,Harvard Medical School Massachusetts General Hospital,American Board of Internal Medicine,56
Osan3Alpha,284,Christopher,Li,M,46,Allergy and Immunology,13,Johns Hopkins University School of Medicine,American Board of Allergy and Immunology,359
Osan3Alpha,285,Isabella,Ng,F,39,Ophthalmology,10,Thomas Jefferson University Wills Eye Hospital,American Board of Ophthalmology,32
Osan3Alpha,286,Lucas,Wu,M,44,Infectious Disease,11,Stanford University School of Medicine,American Board of Internal Medicine,33
Osan3Alpha,287,Mia,Chang,F,36,Physical Medicine and Rehabilitation,9,Icahn School of Medicine at Mount Sinai Hospital,American Board of Physical Medicine and Rehabilitation,266
Osan3Alpha,288,Josephine,Kwok,F,38,Neonatal-Perinatal Medicine,10,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,44
Osan3Alpha,289,Andrew,Pham,M,45,Pediatric Hematology-Oncology,12,University of Tennessee Health Science Center at St. Jude Children's Research Hospital,American Board of Pediatrics,30
Osan3Alpha,290,Grace,Truong,F,37,Rheumatology,9,Harvard Medical School Brigham and Women's Hospital,American Board of Internal Medicine,344
Osan3Alpha,291,Ethan,Wong,M,44,Hand Surgery,12,Weill Cornell Medical College Hospital for Special Surgery,American Board of Plastic Surgery,134
Osan3Alpha,292,Abigail,Guo,F,38,Pulmonary Disease,10,Mayo Clinic College of Medicine and Science,American Board of Internal Medicine,141
Osan3Alpha,293,Sebastian,Kim,M,46,Sports Medicine,13,Weill Cornell Medical College Hospital for Special Surgery,American Board of Orthopaedic Surgery,42
Osan3Alpha,294,Chloe,Lin,F,37,Child and Adolescent Psychiatry,9,Harvard Medical School Boston Children's Hospital,American Board of Psychiatry and Neurology,48
Osan3Alpha,295,Oliver,Ng,M,44,Interventional Neuroradiology,12,Harvard Medical School Massachusetts General Hospital,American Board of Radiology,214
Osan3Alpha,296,Charlotte,Tan,F,39,Developmental-Behavioral Pediatrics,10,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,34
Osan3Alpha,297,Leo,Kwok,M,45,Vascular Surgery,11,Columbia University College of Physicians and Surgeons NewYork-Presbyterian Hospital/Weill Cornell Medical Center,American Board of Surgery,396
Osan3Alpha,298,Amelia,Park,F,38,Forensic Pathology,10,University of Maryland School of Medicine Office of the Chief Medical Examiner,American Board of Pathology,34
Osan3Alpha,299,Noah,Lee,M,46,Interventional Pain Management,13,Cleveland Clinic Lerner College of Medicine,American Board of Anesthesiology,116
Osan3Alpha,300,Sophia,Wang,F,39,Child Abuse Pediatrics,10,George Washington University School of Medicine and Health Sciences Children's National Medical Center,American Board of Pediatrics,43
Osan3Alpha,301,James,Nguyen,M,44,Neurotology,12,Harvard Medical School Massachusetts Eye and Ear Infirmary,American Board of Otolaryngology,33
Osan3Alpha,302,Ava,Chen,F,38,Sleep Medicine,10,Stanford University School of Medicine Sleep Medicine Center,American Board of Psychiatry and Neurology,267
Osan3Alpha,303,Alexander,Hu,M,45,Surgical Oncology,11,Weill Cornell Medical College Memorial Sloan Kettering Cancer Center,American Board of Surgery,35
Osan3Alpha,304,Olivia,Wong,F,37,Neurodevelopmental Disabilities,9,Johns Hopkins University School of Medicine Kennedy Krieger Institute,American Board of Psychiatry and Neurology,417
Osan3Alpha,305,Benjamin,Tan,M,44,Gastroenterology,12,Harvard Medical School Massachusetts General Hospital,American Board of Internal Medicine,95
Osan3Alpha,306,Sofia,Le,F,39,Reproductive Endocrinology and Infertility,10,University of Maryland School of Medicine Shady Grove Fertility in Frederick,American Board of Obstetrics and Gynecology,76
Osan3Alpha,307,Liam,Kim,M,46,Hematology,13,University of Texas Medical School MD Anderson Cancer Center in Houston,American Board of Internal Medicine,443
Osan3Alpha,308,Amelia,Chong,F,37,Neuromuscular Medicine,9,Harvard Medical School Brigham and Women's Hospital,American Board of Psychiatry and Neurology,56
Osan3Alpha,309,Mason,Liu,M,44,Maternal-Fetal Medicine,12,Columbia University College of Physicians and Surgeons NewYork-Presbyterian Hospital/Weill Cornell Medical Center,American Board of Obstetrics and Gynecology,88
Osan3Alpha,310,Emma,Chen,F,38,Cardiovascular Disease,10,Johns Hopkins University School of Medicine Johns Hopkins Hospital,American Board of Internal Medicine,63
Osan3Alpha,311,Michael,Kwok,M,45,Hand Surgery,11,Harvard Medical School Beth Israel Deaconess Medical Center,American Board of Orthopaedic Surgery,50
Osan3Alpha,312,Grace,Ng,F,37,Pediatric Emergency Medicine,9,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,32
Osan3Alpha,313,Lucas,Wang,M,44,Interventional Cardiology,12,Columbia University College of Physicians and Surgeons NewYork-Presbyterian Hospital/Columbia University Irving Medical Center,American Board of Internal Medicine,130
Osan3Alpha,314,Olivia,Truong,F,39,Colorectal Surgery,10,Lerner College of Medicine Cleveland Clinic Digestive Disease and Surgery Institute,American Board of Surgery,171
Osan3Alpha,315,Josephine,Pham,F,38,Rehabilitation Medicine,10,Rutgers Medical School Kessler Institute for Rehabilitation in New Jersey,American Board of Physical Medicine and Rehabilitation,54
Osan3Alpha,316,Isaac,Kim,M,46,Pediatric Nephrology,13,Harvard Medical School Boston Children's Hospital,American Board of Pediatrics,82
Osan3Alpha,317,Mia,Lin,F,37,Gynecologic Oncology,9,Weill Cornell Medical College Memorial Sloan Kettering Cancer Center,American Board of Obstetrics and Gynecology,67
Osan3Alpha,318,Ethan,Guo,M,44,Neurological Surgery,12,Mayo Clinic College of Medicine and Science,American Board of Neurological Surgery,43
Osan3Alpha,319,Ava,Lee,F,39,Pediatric Radiology,10,Perelman School of Medicine at the University of Pennsylvania Children's Hospital of Philadelphia,American Board of Pediatrics,93
Osan3Alpha,320,Samuel,Nguyen,M,39,Dermatology,11,Stanford University School of Medicine,American Board of Dermatology,311
Osan3Alpha,321,Isabella,Chang,F,52,Radiology,22,Johns Hopkins School of Medicine,American Board of Radiology,291
Osan3Alpha,322,Leo,Patel,M,45,Cardiac Surgery,18,Mayo Clinic School of Medicine,American Board of Thoracic Surgery,306
Osan3Alpha,323,Ava,Shah,F,37,Endocrinology,9,University of Chicago Pritzker School of Medicine,American Board of Internal Medicine,111
Osan3Alpha,324,Ethan,Hernandez,M,41,Plastic Surgery,15,University of Miami Miller School of Medicine,American Board of Plastic Surgery,53
Osan3Alpha,325,Harper,Kim,F,34,Sleep Medicine,6,University of Texas Medical School at Houston,American Board of Sleep Medicine,38
Osan3Alpha,326,Aiden,Hu,M,47,Gastroenterology,20,Washington University School of Medicine in St. Louis,American Board of Internal Medicine,37
Osan3Alpha,327,Evelyn,Ng,F,38,Reproductive Endocrinology and Infertility,10,Yale School of Medicine,American Board of Obstetrics and Gynecology,68
Osan3Alpha,328,Mason,Liu,M,42,Neonatology,14,University of Michigan Medical School,American Board of Pediatrics,30
Osan3Alpha,329,Scarlett,Smith,F,50,Pediatric Hematology-Oncology,19,Cincinnati Children's Hospital Medical Center,American Board of Pediatrics,65
Osan3Alpha,330,Henry,Brown,M,51,Hand Surgery,21,Hospital for Special Surgery,American Board of Orthopaedic Surgery,244
Osan3Alpha,331,Sophia,Li,F,36,Hepatology,8,Icahn School of Medicine at Mount Sinai,American Board of Internal Medicine,42
Osan3Alpha,332,Lucas,Kim,M,48,Vascular Interventional Radiology,16,Brigham and Women's Hospital,American Board of Radiology,33
Osan3Alpha,333,Zoe,Gupta,F,43,Interventional Cardiology,13,Emory University School of Medicine,American Board of Internal Medicine,38
Osan3Alpha,334,Emma,Chen,F,40,Neurocritical Care,12,University of California San Francisco School of Medicine,American Board of Psychiatry and Neurology,101
Osan3Alpha,335,Carter,Li,M,39,Pediatric Nephrology,11,Children's Hospital of Philadelphia,American Board of Pediatrics,31
Osan3Alpha,336,Lily,Wang,F,44,Reconstructive Surgery,15,New York University School of Medicine,American Board of Plastic Surgery,47
Osan3Alpha,337,Noah,Lee,M,37,Rheumatology,9,Mayo Clinic School of Medicine,American Board of Internal Medicine,40
Osan3Alpha,338,Liam,Tran,M,46,Surgical Oncology,18,MD Anderson Cancer Center,American Board of Surgery,38
Osan3Alpha,339,Grace,Kaur,F,35,Female Pelvic Medicine and Reconstructive Surgery,7,University of California Los Angeles David Geffen School of Medicine,American Board of Obstetrics and Gynecology,87
Osan3Alpha,340,Michael,Jackson,M,59,Plastic and Reconstructive Surgery,22,University of Pennsylvania School of Medicine,American Board of Plastic Surgery,121
Osan3Alpha,341,Sofia,Kim,F,43,Neurology,11,Stanford University School of Medicine,American Board of Psychiatry and Neurology,61
Osan3Alpha,342,William,Chen,M,50,Thoracic Surgery,18,Johns Hopkins School of Medicine,American Board of Thoracic Surgery,163
Osan3Alpha,343,Grace,Kumar,F,46,Obstetrics and Gynecology,17,Harvard Medical School,American Board of Obstetrics and Gynecology,127
Osan3Alpha,344,Jameson,Gupta,M,41,Pediatric Cardiology,14,Children's Hospital of Philadelphia,American Board of Pediatrics,147
Osan3Alpha,345,Ariana,Lee,F,36,Neonatal-Perinatal Medicine,8,University of California San Francisco School of Medicine,American Board of Pediatrics,38
Osan3Alpha,346,Elijah,Malik,M,39,Infectious Disease,12,Emory University School of Medicine,American Board of Internal Medicine,139
Osan3Alpha,347,Amelia,Wong,F,47,Hematology,20,Washington University School of Medicine in St. Louis,American Board of Internal Medicine,32
Osan3Alpha,348,Benjamin,Patel,M,45,Allergy and Immunology,19,University of Michigan Medical School,American Board of Allergy and Immunology,42
Osan3Alpha,349,Chloe,Kim,F,38,Colorectal Surgery,10,Mayo Clinic School of Medicine,American Board of Colon and Rectal Surgery,82
Osan3Alpha,350,Oliver,Liu,M,54,Obesity Medicine,25,Massachusetts General Hospital,American Board of Obesity Medicine,41
Osan3Alpha,351,Mia,Hernandez,F,33,Sports Medicine,6,Medical College of Wisconsin,American Board of Family Medicine,62
Osan3Alpha,352,Sebastian,Wu,M,48,Neurointerventional Surgery,16,Brigham and Women's Hospital,American Board of Neurological Surgery,33
Osan3Alpha,353,Abigail,Chang,F,42,Gynecologic Oncology,13,University of Texas Southwestern Medical School,American Board of Obstetrics and Gynecology,52
Osan3Alpha,354,David,Kaur,M,49,Hypertension Specialist,23,University of Alabama School of Medicine,American Society of Hypertension,53
Osan3Alpha,355,Emily,Kim,F,37,Pain Management,9,Northwestern University Feinberg School of Medicine,American Board of Anesthesiology,49
Osan3Alpha,356,Joshua,Tran,M,44,Cardiac Electrophysiology,15,Vanderbilt University School of Medicine,Heart Rhythm Society,97
Osan3Alpha,357,Victoria,Li,F,35,Developmental-Behavioral Pediatrics,11,Children's Hospital Los Angeles,American Board of Pediatrics,45
Osan3Alpha,358,Joseph,Brown,M,51,Thoracic Oncology,18,Moffitt Cancer Center,American Board of Thoracic Surgery,38
Osan3Alpha,359,Sophie,Wang,F,39,Neuro-Ophthalmology,12,University of Iowa Carver College of Medicine,American Board of Ophthalmology,41
Osan3Alpha,360,Michaela,Nguyen,F,43,Reproductive Endocrinology and Infertility,16,New York University School of Medicine,American Board of Obstetrics and Gynecology,80
Osan3Alpha,361,Alexander,Kumar,M,50,Vascular and Interventional Radiology,19,Stanford University School of Medicine,American Board of Radiology,70
Osan3Alpha,362,Olivia,Tan,F,38,Cardiothoracic Surgery,11,Mayo Clinic College of Medicine and Science,American Board of Thoracic Surgery,84
Osan3Alpha,363,William,Chow,M,46,Head and Neck Surgery,14,University of Pittsburgh School of Medicine,American Board of Otolaryngology,189
Osan3Alpha,364,Ava,Chen,F,37,Gastroenterology,9,Johns Hopkins School of Medicine,American Board of Internal Medicine,77
Osan3Alpha,365,Ethan,Patel,M,51,Interventional Pain Medicine,20,Weill Cornell Medical College,American Board of Anesthesiology,437
Osan3Alpha,366,Sophia,Li,F,34,Neurodevelopmental Disabilities,8,Children's Hospital of Philadelphia,American Board of Pediatrics,52
Osan3Alpha,367,James,Wu,M,43,Hand Surgery,13,Harvard Medical School,American Board of Plastic Surgery,30
Osan3Alpha,368,Madeline,Ng,F,39,Pediatric Hematology-Oncology,10,St. Jude Children's Research Hospital,American Board of Pediatrics,49
Osan3Alpha,369,Sebastian,Kim,M,48,Reconstructive Surgery,16,University of Texas MD Anderson Cancer Center,American Board of Plastic Surgery,97
Osan3Alpha,370,Isabella,Gupta,F,41,Rheumatology,12,Brigham and Women's Hospital,American Board of Internal Medicine,49
Osan3Alpha,371,David,Liu,M,47,Orthopedic Trauma Surgery,18,University of California Los Angeles School of Medicine,American Board of Orthopaedic Surgery,42
Osan3Alpha,372,Emma,Wang,F,36,Pediatric Otolaryngology,11,Children's Hospital Los Angeles,American Board of Otolaryngology,213
Osan3Alpha,373,Oliver,Chang,M,45,Endocrinology,14,University of Chicago Pritzker School of Medicine,American Board of Internal Medicine,562
Osan3Alpha,374,Emily,Kaur,F,40,Reproductive Medicine,15,University of Miami Miller School of Medicine,American Board of Obstetrics and Gynecology,56
Osan3Alpha,375,Nathan,Brown,M,52,Hepatology,19,Mount Sinai School of Medicine,American Board of Internal Medicine,74
Osan3Alpha,376,Lily,Tran,F,37,Family Planning,9,University of California San Francisco School of Medicine,American Board of Obstetrics and Gynecology,79
Osan3Alpha,377,William,Lee,M,44,Vascular Surgery,16,Stanford University School of Medicine,American Board of Surgery,58
Osan3Alpha,378,Mia,Chow,F,38,Surgical Oncology,10,Memorial Sloan Kettering Cancer Center,American Board of Surgery,450
Osan3Alpha,379,Oliver,Wu,M,46,Oral and Maxillofacial Surgery,13,Harvard School of Dental Medicine,American Association of Oral and Maxillofacial Surgeons,123
Osan3Alpha,380,Aiden,Gupta,M,39,Plastic and Reconstructive Surgery,12,University of California San Francisco School of Medicine,American Board of Plastic Surgery,36
Osan3Alpha,381,Sophia,Patel,F,38,Female Pelvic Medicine and Reconstructive Surgery,11,University of Texas Southwestern Medical School,American Board of Obstetrics and Gynecology,61
Osan3Alpha,382,Noah,Yang,M,42,Sports Medicine,15,University of Michigan Medical School,American Board of Family Medicine,36
Osan3Alpha,383,Olivia,Lin,F,41,Pediatric Cardiology,14,Boston Children's Hospital,American Board of Pediatrics,551
Osan3Alpha,384,Ethan,Kim,M,47,Interventional Radiology,18,University of California Los Angeles School of Medicine,American Board of Radiology,34
Osan3Alpha,385,Emma,Wong,F,43,Infectious Diseases,16,Johns Hopkins School of Medicine,American Board of Internal Medicine,40
Osan3Alpha,386,Liam,Wu,M,48,Colorectal Surgery,19,Cleveland Clinic Lerner College of Medicine,American Board of Surgery,72
Osan3Alpha,387,Ava,Ng,F,44,Maternal-Fetal Medicine,17,Yale School of Medicine,American Board of Obstetrics and Gynecology,54
Osan3Alpha,388,James,Liu,M,49,Neurology,20,Washington University School of Medicine in St. Louis,American Board of Psychiatry and Neurology,44
Osan3Alpha,389,Mia,Chen,F,39,Cardiac Electrophysiology,12,Mayo Clinic College of Medicine and Science,American Board of Internal Medicine,55
Osan3Alpha,390,William,Park,M,45,Transplant Surgery,18,University of Pittsburgh School of Medicine,American Board of Surgery,97
Osan3Alpha,391,Charlotte,Tran,F,40,Pediatric Nephrology,14,Children's Hospital of Philadelphia,American Board of Pediatrics,44
Osan3Alpha,392,Lucas,Kumar,M,46,Neuroradiology,15,Stanford University School of Medicine,American Board of Radiology,87
Osan3Alpha,393,Harper,Tan,F,41,Developmental-Behavioral Pediatrics,13,Harvard Medical School,American Board of Pediatrics,327
Osan3Alpha,394,Ava,Lin,F,47,Obstetrics and Gynecology,16,Columbia University Vagelos College of Physicians and Surgeons,American Board of Obstetrics and Gynecology,98
Osan3Alpha,395,Oliver,Wu,M,48,Cardiovascular Disease,17,Duke University School of Medicine,American Board of Internal Medicine,50
Osan3Alpha,396,Ella,Gupta,F,42,Neonatology,14,Children's Hospital of Los Angeles,American Board of Pediatrics,46
Osan3Alpha,397,Samuel,Yang,M,49,Hand Surgery,18,University of Chicago Pritzker School of Medicine,American Board of Plastic Surgery,586
Osan3Alpha,398,Scarlett,Lee,F,43,Neurocritical Care,15,Massachusetts General Hospital,American Board of Psychiatry and Neurology,45
Osan3Alpha,399,Jack,Wang,M,50,Hematology,20,Johns Hopkins School of Medicine,American Board of Internal Medicine,145
Osan3Alpha,400,Lily,Choi,F,44,Gastroenterology,17,University of Pennsylvania Perelman School of Medicine,American Board of Internal Medicine,144
Osan3Alpha,401,Leo,Singh,M,45,Thoracic Surgery,18,University of Toronto Faculty of Medicine,Royal College of Physicians and Surgeons of Canada,359
Osan3Alpha,402,Aria,Hernandez,F,41,Rheumatology,14,Mayo Clinic College of Medicine and Science,American Board of Internal Medicine,37
Osan3Alpha,403,Julian,Nguyen,M,46,Reproductive Endocrinology and Infertility,19,New York University School of Medicine,American Board of Obstetrics and Gynecology,71
Osan3Alpha,404,Nora,Martinez,F,42,Endocrinology,15,Emory University School of Medicine,American Board of Internal Medicine,73
Osan3Alpha,405,Aaron,Lim,M,47,Neurotology,16,University of California San Diego School of Medicine,American Board of Otolaryngology,64
